,close,high,low
2024-11-15,91062.0,91850.0,87135.0
2024-11-16,90555.1,91750.0,90149.0
2024-11-17,89850.0,91399.0,88728.6
2024-11-18,90507.9,92607.2,89400.0
2024-11-19,92376.1,94000.0,90424.6
2024-11-20,94364.5,94925.0,91636.1
2024-11-21,98496.0,98999.0,94135.0
2024-11-22,99000.0,99650.0,97218.3
2024-11-23,97759.1,99000.0,97219.2
2024-11-24,97994.1,98607.4,95751.2
2024-11-25,93000.0,98880.0,92550.0
2024-11-26,91914.5,94995.0,90736.0
2024-11-27,95952.9,97387.9,91818.3
2024-11-28,95637.8,96652.0,94653.6
2024-11-29,97478.7,98670.1,95385.7
2024-11-30,96456.2,97491.2,96185.0
2024-12-01,97244.6,97850.0,95754.4
2024-12-02,95853.3,98135.3,94450.0
2024-12-03,95917.5,96267.2,93565.1
2024-12-04,98757.1,99213.9,94656.9
2024-12-05,97087.3,104015.5,91800.0
2024-12-06,99872.9,101995.0,96510.3
2024-12-07,99899.9,100501.4,99000.0
2024-12-08,101170.0,101400.0,98699.7
2024-12-09,97399.9,101214.3,94140.9
2024-12-10,96655.1,98267.9,94314.1
2024-12-11,101177.0,101900.0,95754.0
2024-12-12,100050.1,102500.0,99296.6
2024-12-13,101483.1,101905.2,99250.0
2024-12-14,101400.1,102637.2,100666.0
2024-12-15,104355.2,105000.0,101222.5
2024-12-16,106067.2,107777.0,103319.4
2024-12-17,106151.9,108297.6,105124.0
2024-12-18,100166.1,106489.3,100027.8
2024-12-19,97431.4,102750.0,95586.4
2024-12-20,97781.8,98064.7,92159.0
2024-12-21,97232.6,99575.4,96359.8
2024-12-22,95101.9,97321.3,94201.1
2024-12-23,94699.4,96403.0,92417.0
2024-12-24,98647.2,99400.0,93500.0
2024-12-25,99310.8,99411.6,97600.0
2024-12-26,95645.0,99821.8,95139.1
2024-12-27,94148.9,97308.6,93300.0
2024-12-28,95204.1,95497.0,94033.5
2024-12-29,93551.0,95204.1,92860.7
2024-12-30,92611.3,94858.7,91256.6
2024-12-31,93370.9,96040.0,91934.1
2025-01-01,94380.8,94888.0,92588.1
2025-01-02,96805.2,97719.9,94167.2
2025-01-03,98111.1,98888.0,96034.1
2025-01-04,98208.9,98714.8,97548.4
2025-01-05,98306.2,98750.0,97250.0
2025-01-06,102222.0,102479.6,97974.0
2025-01-07,96932.2,102759.3,96100.0
2025-01-08,95060.4,97232.8,92501.0
2025-01-09,92531.7,95251.1,91168.5
2025-01-10,94698.8,95771.2,92200.0
2025-01-11,94562.1,94986.6,93865.0
2025-01-12,94449.9,95300.0,93652.2
2025-01-13,94487.1,95808.2,89005.8
2025-01-14,96560.1,97302.9,94313.0
2025-01-15,100496.4,100731.7,96500.0
2025-01-16,99976.7,100700.0,97333.0
2025-01-17,104089.8,105883.0,99952.8
2025-01-18,104382.0,104907.3,102222.0
2025-01-19,101191.1,106246.6,99538.2
2025-01-20,102162.8,109112.0,99500.0
2025-01-21,106162.8,107200.0,100114.2
2025-01-22,103648.5,106293.4,103271.3
2025-01-23,103920.2,106833.2,101281.7
2025-01-24,104840.4,107080.6,102800.0
2025-01-25,104705.2,105194.1,104250.0
2025-01-26,102596.5,105380.0,102544.1
2025-01-27,102133.3,103200.0,97688.7
2025-01-28,101299.8,103728.0,100200.0
2025-01-29,103708.0,104749.1,101277.6
2025-01-30,104750.1,106414.4,103252.5
2025-01-31,102406.0,106000.0,101500.0
2025-02-01,100624.2,102748.6,100147.0
2025-02-02,97696.1,101415.5,96100.0
2025-02-03,101425.1,102500.0,91000.0
2025-02-04,97868.5,101721.9,96250.0
2025-02-05,96623.8,99125.0,96191.0
2025-02-06,96559.2,99100.0,95700.0
2025-02-07,96547.5,100181.7,95634.1
2025-02-08,96496.5,96860.1,95656.9
2025-02-09,96473.0,97291.2,94763.1
2025-02-10,97441.2,98300.0,95326.7
